"Concavity","Dimensionality","SNR","IP (mm)","ST (mm)","Step (pixels)","Fitting order","Curvature, true (m-1)","Curvature, est. (m-1)","Curvature, std.","Length, true (mm)","Length, est. (mm)","Length, std.","Pennation, true (deg)","Pennation, est. (deg)","Pennation, std.","Nq","N0"
-1,2,24,1.5,4.5,0.25,2,5.925,11.9365082892,8.21149909725578,72.2086029052734,33.6156842409326,18.658748240062,19.8600324630737,15.4174582275468,4.57813068382059,7218,12568
-1,2,24,1.5,4.5,0.25,2,9.74,13.8067627683014,7.57826637165706,63.8382225036621,33.254043084224,16.5620836892418,21.7307325363159,16.3344462816003,5.41961775795466,7348,11876
-1,2,24,1.5,4.5,0.25,2,13.475,15.7985784487797,7.41861369652439,55.5977630615234,32.1080328560455,14.5251436354475,25.3109040260315,19.483629470332,5.96531651430388,7569,12592
1,3,24,1.5,4.5,0.25,2,1.997,12.1950356018015,9.73741565504927,76.2266235351562,32.3332992446964,18.1638348529007,24.7172027587891,25.3596119027707,4.3975333095899,4735,7560
1,3,24,1.5,4.5,0.25,2,5.925,12.9995519618554,9.2619804584263,72.0377960205078,32.8198798804476,17.8244890003239,29.2794438362122,29.8183785917106,4.46145106793611,4681,7560
1,3,24,1.5,4.5,0.25,2,9.74,14.6171211911312,8.81779315840381,63.392463684082,32.694457680399,16.9083296410667,35.2218529701233,35.6402037472319,4.23368417459243,4774,7560
1,3,24,1.5,4.5,0.25,2,13.475,16.1383081907754,8.00181043049132,55.0152473449707,32.7727744229945,14.673231107698,41.4822465896606,41.2189190430074,4.18732692679397,4504,7560
-1,3,24,1.5,4.5,0.25,2,1.997,11.1297706456643,9.21725176342193,76.2345962524414,32.8093188249646,18.1014559760153,21.7870970726013,20.4331915505785,4.50208323242122,4929,7560
-1,3,24,1.5,4.5,0.25,2,5.925,12.3076316637874,8.42925469065053,72.1936645507812,32.1402861970984,18.1681521134297,21.0328273773193,17.7903602702472,4.74781233433621,4532,7560
-1,3,24,1.5,4.5,0.25,2,9.74,14.0987822303098,8.23757960733788,63.8068504333496,33.3115621991795,17.1246331742899,23.2287516593933,19.4145335627925,5.16544750861849,4721,7560
